'000001,2007,иНшз╥╒у╧рЬпп╧и╥щспоч╧╚к╬,data/2007дЙ╠╗╠М/000001-2007.pdf,1,0,0,0,0
'000002,2007,,data/2007дЙ╠╗╠М/000002-2007.pdf,0,0,0,0,0
'000004,2007,,data/2007дЙ╠╗╠М/000004-2007.pdf,1,0,0,0,0
'000005,2007,,data/2007дЙ╠╗╠М/000005-2007.pdf,0,0,0,0,0
'000006,2007,,data/2007дЙ╠╗╠М/000006-2007.pdf,0,0,0,0,0
'000007,2007,,data/2007дЙ╠╗╠М/000007-2007.pdf,0,0,0,0,0
'000008,2007,,data/2007дЙ╠╗╠М/000008-2007.pdf,0,0,0,0,0
'000009,2007,,data/2007дЙ╠╗╠М/000009-2007.pdf,0,0,0,0,0
'000010,2007,,data/2007дЙ╠╗╠М/000010-2007.PDF,0,0,0,0,0
'000011,2007,,data/2007дЙ╠╗╠М/000011-2007.PDF,0,0,0,0,0
'000012,2007,жп╧Здо╡ё╪╞ме╧и╥щспоч╧╚к╬,data/2007дЙ╠╗╠М/000012-2007.PDF,0,0,0,0,0
'000014,2007,,data/2007дЙ╠╗╠М/000014-2007.PDF,0,0,0,0,0
'000016,2007,,data/2007дЙ╠╗╠М/000016-07.PDF,0,0,0,0,0
'000017,2007,,data/2007дЙ╠╗╠М/000017-07.PDF,0,0,0,0,0
'000018,2007,иНшзжп╧з╥дж╞с║х╬╧и╥щспоч╧╚к╬ShenzhenVictorOnwardTextileIndustrialCo.Ltd.data/2007дЙ╠╗╠М/000018-07.PDF,data/2007дЙ╠╗╠М/000018-07.PDF,1,0,0,0,0
'000019,2007,,data/2007дЙ╠╗╠М/000019-07.PDF,0,0,0,0,0
'000020,2007,,data/2007дЙ╠╗╠М/000020-07.PDF,0,0,0,0,0
'000021,2007,SHENZHENKAIFATECHNOLOGYCO.LTD.data/2007дЙ╠╗╠М/000021-07.PDF,data/2007дЙ╠╗╠М/000021-07.PDF,0,0,0,0,0
'000022,2007,,data/2007дЙ╠╗╠М/000022-07.PDF,0,0,0,0,0
'000023,2007,(cid:,data/2007дЙ╠╗╠М/000023-07.PDF,0,0,0,0,0
'000024,2007,,data/2007дЙ╠╗╠М/000024-07.PDF,0,0,0,0,0
'000025,2007,,data/2007дЙ╠╗╠М/000025-07.PDF,0,0,0,0,0
'000026,2007,SHENZHENFIYTAHOLDINGSLTD.,data/2007дЙ╠╗╠М/000026-07.PDF,0,0,0,0,0
'000027,2007,,data/2007дЙ╠╗╠М/000027-07.PDF,0,0,0,0,0
'000028,2007,,data/2007дЙ╠╗╠М/000028-07.PDF,1,0,0,0,0
'000029,2007,(cid:,data/2007дЙ╠╗╠М/000029-07.PDF,0,0,0,0,0
'000030,2007,╧Ц╤╚й╒хС╪╞ме╧и╥щспоч╧╚к╬GUANGDONGSUNRISEHOLDINGSCO.ё╛LTD.,data/2007дЙ╠╗╠М/000030-07.PDF,1,0,0,0,0
'000031,2007,жпа╦╣ь╡Зё╗╪╞меё╘╧и╥щспоч╧╚к╬COFCOPROPERTYё╗GROUPё╘CO.LTD.data/2007дЙ╠╗╠М/000031-07.PDF,data/2007дЙ╠╗╠М/000031-07.PDF,1,0,0,0,0
'000032,2007,-------------------------,data/2007дЙ╠╗╠М/000032-07.PDF,0,0,0,0,0
